Name,IATA,Location,Latitude,Longitude,Country,TimeZone
Naknek Airport,NNK,Naknek,58.735633,-157.02216,US,America/Anchorage
Southern Seaplane Airport,BCS,Belle Chasse,29.866078,-90.021608,US,America/Chicago
Minute Man Air Field,MMN,Stow,42.460298,-71.519031,US,America/New_York
Earl Henry Airport,BWL,Blackwell,36.7958984375,-97.3170013428,US,America/Chicago
Center Island Airport,CWS,Center Island,48.490046,-122.831612,US,America/Los_Angeles
Tatitlek Airport,TEK,Tatitlek,60.871449,-146.690297,US,America/Anchorage
Pine Island Airport,DUF,Corolla,36.2535018921,-75.7884979248,US,America/New_York
Stuart Island Airpark,SSW,Friday Harbor,48.673379,-123.175439,US,America/Los_Angeles
Fort Bragg Airport,FOB,Fort Bragg,39.472445,-123.795319,US,America/Los_Angeles
Maxson Airfield,AXB,Alexandria Bay,44.312002,-75.90034,US,America/New_York
Reese Airpark,REE,Lubbock,33.590301513672,-102.03700256348,US,America/Chicago
Waldron Airstrip,WDN,Eastsound,48.71141,-123.018208,US,America/Los_Angeles
Chuathbaluk Airport,CHU,Chuathbaluk,61.579102,-159.216003,US,America/Anchorage
Ugashik Airport,UGS,Ugashik,57.523476,-157.396344,US,America/Anchorage
Levelock Airport,KLL,Levelock,59.12606,-156.860906,US,America/Anchorage
Tuntutuliak Airport,WTL,Tuntutuliak,60.351243,-162.654476,US,America/Nome
Twin Hills Airport,TWA,Twin Hills,59.074713,-160.274992,US,America/Anchorage
Chignik Lake Airport,KCQ,Chignik Lake,56.2550010681,-158.774993896,US,America/Anchorage
Adado Airport,AAD,Adado,6.095802,46.6375,SO,Africa/Mogadishu
Atkamba Airport,ABP,Atkamba Mission,-6.06462,141.095173,PG,Pacific/Port_Moresby
Arica Airport,ACM,Arica,-2.143713,-71.75935,CO,America/Bogota
Andakombe Airport,ADC,Andekombe,-7.13722222222,145.744722222,PG,Pacific/Port_Moresby
El Daein Airport,ADV,El Daein,11.4023,26.1186,SD,Africa/Khartoum
Adareil Airport,AEE,Adar,10.053611,32.959444,SS,Africa/Juba
Aseki Airport,AEK,Aseki,-7.350805,146.193994,PG,Pacific/Port_Moresby
Ar Horqin Airport,AEQ,Chifeng,43.908407,120.15099,CN,Asia/Shanghai
"""Ghost"" International Airport",KHT,Khost,33.284605,69.80734,AF,Asia/Kabul
Orūzgān Airport,URZ,Orūzgān,32.9029998779,66.630897522,AF,Asia/Kabul
Salerno Airport,OLR,Khost,33.3638,69.9561,AF,Asia/Kabul
Afore Airstrip,AFR,,-9.13867,148.390701,PG,Pacific/Port_Moresby
Afutara Aerodrome,AFT,Bila,-9.19138888889,160.948611111,SB,Pacific/Guadalcanal
Ulawa Airport,RNA,Arona,-9.86054358262,161.979546547,SB,Pacific/Guadalcanal
Uru Harbour Airport,ATD,Atoifi,-8.87333,161.011002,SB,Pacific/Guadalcanal
Barakoma Airport,VEV,Barakoma,-7.912779808044434,156.70599365234375,SB,Pacific/Guadalcanal
Geva Airport,GEF,Liangia,-7.575829982757568,156.5970001220703,SB,Pacific/Guadalcanal
Angoram Airport,AGG,Angoram,-4.05583333333,144.073888889,PG,Pacific/Port_Moresby
Gwaunaru'u Airport,AKS,Auki,-8.70257,160.682007,SB,Pacific/Guadalcanal
Bellona/Anua Airport,BNY,Anua,-11.3022222222,159.798333333,SB,Pacific/Guadalcanal
Choiseul Bay Airport,CHY,,-6.711944,156.396111,SB,Pacific/Guadalcanal
Ballalae Airport,BAS,Ballalae,-6.990745,155.886656,SB,Pacific/Guadalcanal
Fera/Maringe Airport,FRE,Fera Island,-8.1075,159.576996,SB,Pacific/Guadalcanal
Honiara International Airport,HIR,Honiara,-9.428,160.054993,SB,Pacific/Guadalcanal
Babanakira Airport,MBU,Mbambanakira,-9.7475004196167,159.83900451660156,SB,Pacific/Guadalcanal
Avu Avu Airport,AVU,,-9.86833333333,160.410555556,SB,Pacific/Guadalcanal
Ngorangora Airport,IRA,Kirakira,-10.4497003555,161.897994995,SB,Pacific/Guadalcanal
Santa Cruz/Graciosa Bay/Luova Airport,SCZ,Santa Cruz/Graciosa Bay/Luova,-10.72029972076416,165.7949981689453,SB,Pacific/Guadalcanal
Munda Airport,MUA,Munda,-8.32797,157.263,SB,Pacific/Guadalcanal
Nusatupe Airport,GZO,Gizo,-8.09778022766,156.863998413,SB,Pacific/Guadalcanal
Mono Airport,MNY,Stirling Island,-7.416940212249756,155.56500244140625,SB,Pacific/Guadalcanal
Parasi Airport,PRS,Parasi,-9.64167022705078,161.4250030517578,SB,Pacific/Guadalcanal
Rennell/Tingoa Airport,RNL,Rennell Island,-11.533900260925291,160.06300354003906,SB,Pacific/Guadalcanal
Sege Airport,EGM,Sege,-8.578889846801758,157.87600708007812,SB,Pacific/Guadalcanal
Santa Ana Airport,NNB,Santa Ana Island,-10.847994,162.454108,SB,Pacific/Guadalcanal
Marau Airport,RUS,Marau,-9.86166954041,160.824996948,SB,Pacific/Guadalcanal
Suavanao Airport,VAO,Suavanao,-7.585559844970703,158.7310028076172,SB,Pacific/Guadalcanal
Yandina Airport,XYA,Yandina,-9.092816,159.21841,SB,Pacific/Guadalcanal
Kagua Airport,AGK,Kagua,-6.396388888890001,143.853611111,PG,Pacific/Port_Moresby
Kaghau Airport,KGE,Kagau Island,-7.3305,157.585,SB,Pacific/Guadalcanal
Kukudu Airport,KUE,Kolombangara Island,-8.0262,156.94783,SB,Pacific/Guadalcanal
Kwailabesi Airport,KWS,Kwailabesi,-8.360508,160.775127,SB,Pacific/Guadalcanal
Wanigela Airport,AGL,,-9.3375,149.155555556,PG,Pacific/Port_Moresby
Lomlom Airport,LLM,Lomlom,-10.296828,166.327322,SB,Pacific/Guadalcanal
Nana Airport,NAZ,Star Harbor,-10.6758,162.2049,SB,Pacific/Guadalcanal
Manaoba Airport,MHM,Manaoba,-8.325008,160.80051,SB,Pacific/Guadalcanal
Gatokae Aerodrome,GTA,Gatokae,-8.738358,158.202836,SB,Pacific/Guadalcanal
Ringi Cove Airport,RIN,Ringi Cove,-8.12639045715332,157.14300537109375,SB,Pacific/Guadalcanal
Ramata Airport,RBV,Ramata,-8.168060302734375,157.64300537109375,SB,Pacific/Guadalcanal
Argyle Downs Airport,AGY,Argyle Downs,-16.508604,128.922485,AU,Australia/Perth
Hongyuan Airport,AHJ,Ngawa (Hongyuan),32.53154,102.35224,CN,Asia/Shanghai
Ambatolhy Airport,AHY,Ambatolahy,-20.0158333333,45.535,MG,Indian/Antananarivo
Aiome Airport,AIE,Aiome,-5.145699978,144.7307003,PG,Pacific/Port_Moresby
Aiambak Airport,AIH,Aiambak,-7.342777777779999,141.2675,PG,Pacific/Port_Moresby
Ailinglaplap Airok Airport,AIC,Bigatyelang Island,7.279422,168.8257,MH,Pacific/Majuro
Chena Hot Springs Airport,CEX,Chena Hot Springs,65.0518035889,-146.04699707,US,America/Anchorage
Solomon State Field,SOL,Solomon,64.5605,-164.4457,US,America/Nome
Herendeen Bay Airport,HED,Herendeen Bay,55.801399231,-160.899002075,US,America/Anchorage
Taylor Airport,TWE,Taylor,65.6792984009,-164.798995972,US,America/Nome
Point Lonely Short Range Radar Site Airfield,LNI,Point Lonely,70.911118,-153.237766,US,America/Anchorage
Candle 2 Airport,CDL,Candle,65.907699585,-161.925994873,US,America/Anchorage
Boswell Bay Airport,BSW,Boswell Bay,60.4230995178,-146.145996094,US,America/Anchorage
Zakuoma Airport,AKM,ZaKouma,10.8902777778,19.8172222222,TD,Africa/Ndjamena
Mar de Cortés International Airport,PPE,Puerto Peñasco,31.351987,-113.305177,MX,America/Hermosillo
Alto Molocue Airport,AME,Alto Molocue,-15.6102777778,37.6813888889,MZ,Africa/Maputo
Ama Airport,AMF,,-4.10111111111,141.67,PG,Pacific/Port_Moresby
Amanab Airport,AMU,Amanab,-3.586,141.214333333,PG,Pacific/Port_Moresby
Ambatomainty Airport,AMY,,-17.686667,45.623889,MG,Indian/Antananarivo
Nauru International Airport,INU,Yaren District,-0.547458,166.919006,NR,Pacific/Nauru
Angus Downs Airport,ANZ,Angus Downs Station,-25.0325,132.2748,AU,Australia/Darwin
Catoca Airport,CTV,Saurimo,-9.430985,20.311478,AO,Africa/Luanda
Andulo Airport,ANL,Andulo,-11.4723,16.710899,AO,Africa/Luanda
Cangamba Airport,CNZ,Cangamba,-13.7106,19.861099,AO,Africa/Luanda
Dirico Airport,DRC,Dirico,-17.981924057006836,20.7680606842041,AO,Africa/Luanda
Capanda Airport,KNP,Capanda,-9.76937007904,15.4553194046,AO,Africa/Luanda
N'dalatando Airport,NDF,N'dalatando,-9.280378,14.982432,AO,Africa/Luanda
Annanberg Airport,AOB,,-4.90416666667,144.635833333,PG,Pacific/Port_Moresby
Abou-Deïa Airport,AOD,Abou-Deïa,11.4773,19.2874,TD,Africa/Ndjamena
Asapa Airport,APP,,-8.979167,148.103611,PG,Pacific/Port_Moresby
April River Airport,APR,April River,-4.67666666667,142.540138889,PG,Pacific/Port_Moresby
Troll Airfield,QET,Troll Station,-71.95714,2.45257,AQ,Antarctica/Troll
Girdwood-Alyeska Airport,AQY,Girdwood,60.968774,-149.119792,US,America/Anchorage
Bragado Airport,QRF,Bragado,-35.145811,-60.480294,AR,America/Argentina/Buenos_Aires
Caleta Olivia Airport,CVI,Caleta Olivia,-46.37428,-67.59409,AR,America/Argentina/Rio_Gallegos
Charata Airport,CNT,Charata,-27.2164,-61.2103,AR,America/Argentina/Cordoba
General Villegas Airport,VGS,General Villegas,-34.995728,-62.999725,AR,America/Argentina/Buenos_Aires
Los Menucos Airport,LMD,Los Menucos,-40.817699,-68.074699,AR,America/Argentina/Salta
Valcheta Airport,VCF,Valcheta,-40.7000007629,-66.1500015259,AR,America/Argentina/Salta
Sunchales Aeroclub Airport,NCJ,Sunchales,-30.9575,-61.5283,AR,America/Argentina/Cordoba
Carmen de Patagones Airport,CPG,Carmen de Patagones,-40.7781,-62.9803,AR,America/Argentina/Buenos_Aires
Termal Airport,PRQ,Presidencia Roque Sáenz Peña,-26.753611,-60.492222,AR,America/Argentina/Cordoba
Colonia Sarmiento Airport,OLN,Sarmiento,-45.582371,-68.999841,AR,America/Argentina/Catamarca
Aragip Airport,ARP,,-9.88333333333,149.483333333,PG,Pacific/Port_Moresby
Asirim Airport,ASZ,,-6.009722222220001,150.368611111,PG,Pacific/Port_Moresby
Namatanai Airport,ATN,Namatanai,-3.6695,152.438,PG,Pacific/Port_Moresby
Aitape Airport,ATP,Aitape,-3.14361111111,142.346805556,PG,Pacific/Port_Moresby
Lady Elliot Island Airstrip,LYT,Lady Elliot Island,-24.1129,152.7156,AU,Australia/Brisbane
Gruyere Airport,GYZ,Cosmo Newbery,-28.034548,123.81506,AU,Australia/Perth
Karara Airport,KQR,Karara,-29.217223,116.687154,AU,Australia/Perth
Alpha Airport,ABH,Alpha,-23.652849,146.582668,AU,Australia/Brisbane
Agnew Airport,AGW,Agnew,-12.1456,142.149369,AU,Australia/Brisbane
Alroy Downs Airport,AYD,Alroy Downs,-19.2908,136.078995,AU,Australia/Darwin
Baniyala Airport,BYX,Baniyala,-13.1981,136.227005,AU,Australia/Darwin
Coolibah Airport,COB,Coolibah,-15.548299789428713,130.96200561523438,AU,Australia/Darwin
Coorabie Airport,CRJ,Coorabie,-31.894399642944336,132.29600524902344,AU,Australia/Adelaide
Carlton Hill Airport,CRY,Carlton Hill,-15.50189971923828,128.53399658203125,AU,Australia/Perth
Cresswell Downs Airport,CSD,Cresswell Downs,-17.947999954223633,135.91600036621094,AU,Australia/Darwin
Diamantina Lakes Airport,DYM,Diamantina Lakes,-23.761699676513672,141.14500427246094,AU,Australia/Brisbane
Helenvale Airport,HLV,Helenvale,-15.685799598693848,145.21499633789062,AU,Australia/Brisbane
Kimberley Downs Airport,KBD,Kimberley Downs,-17.39780044555664,124.3550033569336,AU,Australia/Perth
Kulgera Airport,KGR,Ghan,-25.8428,133.292007,AU,Australia/Darwin
Orchid Beach Airport,OKB,Orchid Beach,-24.959400177002,153.31500244141,AU,Australia/Brisbane
Peppimenarti Airport,PEP,Peppimenarti,-14.1442,130.091003,AU,Australia/Darwin
Rockhampton Downs Airport,RDA,Rockhampton Downs,-18.95330047607422,135.2010040283203,AU,Australia/Darwin
Sturt Creek Airport,SSK,Sturt Creek,-19.166400909423828,128.1739959716797,AU,Australia/Perth
Shaw River Airport,SWB,Shaw River,-21.510299682617188,119.36199951171876,AU,Australia/Perth
Tom Price Airport,TPR,Tom Price,-22.746000289900003,117.869003296,AU,Australia/Perth
Torwood Airport,TWP,Torwood,-17.363300323486328,143.75,AU,Australia/Brisbane
Springvale Airport,ZVG,Springvale,-17.78689956665039,127.66999816894533,AU,Australia/Perth
Aua Island Airport,AUI,Aua Island,-1.46055555556,143.064722222,PG,Pacific/Port_Moresby
Ambunti Airport,AUJ,Ambunti,-4.21566666667,142.823166667,PG,Pacific/Port_Moresby
Agaun Airport,AUP,,-9.930833,149.385667,PG,Pacific/Port_Moresby
Aumo Airport,AUV,Aumo,-5.731111111110001,148.445277778,PG,Pacific/Port_Moresby
Alowe Airport,AWE,Wonga Wongué Presidential Reserve,-0.545,9.444,GA,Africa/Libreville
Alxa Left Banner Bayanhot Airport,AXF,Bayanhot,38.74831,105.58858,CN,Asia/Shanghai
Pantar Kabir Airport,AXO,Kabir,-8.244832,124.219108,ID,Asia/Makassar
Kompiam Airport,KPM,,-5.38166666667,143.924722222,PG,Pacific/Port_Moresby
Buka Airport,BUA,Buka Island,-5.422319889068604,154.67300415039062,PG,Pacific/Bougainville
Biaru Airport,BRP,Biaru,-7.6693,146.7594,PG,Pacific/Port_Moresby
Chimbu Airport,CMU,Kundiawa,-6.024290084838867,144.9709930419922,PG,Pacific/Port_Moresby
Munduku Airport,MDM,Munduku,-4.6204,143.4516,PG,Pacific/Port_Moresby
Kondobol Airport,KPF,Kondobol,-8.5336,142.5049,PG,Pacific/Port_Moresby
Dinangat Airport,DNU,Dinangat,-6.1546,146.6772,PG,Pacific/Port_Moresby
Doini Airport,DOI,Castori Islets,-10.7009,150.7218,PG,Pacific/Port_Moresby
Daru Airport,DAU,Daru,-9.08676,143.207993,PG,Pacific/Port_Moresby
Embessa Airport,EMS,Embessa,-9.447,148.7628,PG,Pacific/Port_Moresby
Edwaki Airport,XYR,Yellow River Mission,-3.883986,141.792234,PG,Pacific/Port_Moresby
Eliptamin Airport,EPT,Eliptamin,-5.0412,141.6779,PG,Pacific/Port_Moresby
Engati Airstrip,EGA,Engati,-6.9179,146.1053,PG,Pacific/Port_Moresby
Emo River Airstrip,EMO,Emo Mission,-9.1234,148.0415,PG,Pacific/Port_Moresby
Erume Airport,ERU,Erume,-8.2538,146.9747,PG,Pacific/Port_Moresby
Meselia Airport,MFZ,Demgulu,-6.1364,149.1183,PG,Pacific/Port_Moresby
Feramin Airport,FRQ,Feramin,-5.208,141.6988,PG,Pacific/Port_Moresby
Frieda River Airport,FAQ,Frieda River,-4.610468,141.960138,PG,Pacific/Port_Moresby
Fuma Airport,FUM,Fuma,-6.3933,142.4408,PG,Pacific/Port_Moresby
Goroka Airport,GKA,Goronka,-6.081689834590001,145.391998291,PG,Pacific/Port_Moresby
Guari Airport,GUG,Guari,-8.1286,146.8722,PG,Pacific/Port_Moresby
Garasa Airport,GRL,Au,-7.980713,147.213461,PG,Pacific/Port_Moresby
Gurney Airport,GUR,Gurney,-10.3114995956,150.333999634,PG,Pacific/Port_Moresby
Gusap Airport,GAP,Gusap,-6.053196,145.959047,PG,Pacific/Port_Moresby
Girua Airport,PNP,Popondetta,-8.80453968048,148.309005737,PG,Pacific/Port_Moresby
Gasuke Airport,GBC,Gasuke,-6.1028,141.7393,PG,Pacific/Port_Moresby
Habi Airport,HBD,Habi,-6.32,142.4893,PG,Pacific/Port_Moresby
Heiweni Airport,HNI,Heiweni,-7.4223,146.4276,PG,Pacific/Port_Moresby
Honinabi Airport,HNN,Honinabi,-6.2457,142.1771,PG,Pacific/Port_Moresby
Hoskins Airport,HKN,Kimbe,-5.463846,150.407327,PG,Pacific/Port_Moresby
Haivaro Airport,HIT,Haivaro,-6.9406,143.059,PG,Pacific/Port_Moresby
Imane Airport,IMN,Imane,-6.7524,146.1072,PG,Pacific/Port_Moresby
Kungim Airport,KGM,Kungim,-5.671,141.03,PG,Pacific/Port_Moresby
Imonda Airport,IMD,Imonda,-3.328,141.1573,PG,Pacific/Port_Moresby
Aropa Airport,KIE,Kieta,-6.305417,155.728139,PG,Pacific/Bougainville
Ialibu Airport,IAL,Ialibu,-6.2782,143.9944,PG,Pacific/Port_Moresby
Witu Airport,WIU,Garove Island,-4.689522,149.440112,PG,Pacific/Port_Moresby
Yongai Airport,KGH,Yongai,-8.5289,147.4603,PG,Pacific/Port_Moresby
Losuia Airport,LSA,Losuia,-8.505820274353027,151.08099365234375,PG,Pacific/Port_Moresby
Kopiago Airport,KPA,Kopiago,-5.3883,142.4977,PG,Pacific/Port_Moresby
Kiunga Airport,UNG,Kiunga,-6.1257100105285645,141.28199768066406,PG,Pacific/Port_Moresby
Kanainj Airport,KNE,Kanainj,-5.2903,144.7072,PG,Pacific/Port_Moresby
Kikori Airport,KRI,Kikori,-7.424379825592041,144.2500762939453,PG,Pacific/Port_Moresby
Kerema Airport,KMA,Kerema,-7.96361017227,145.770996094,PG,Pacific/Port_Moresby
Kar Kar Airport,KRX,Kar Kar Island,-4.557,145.9404,PG,Pacific/Port_Moresby
Kuri Airport,KUQ,Kuri,-7.135083,143.276111,PG,Pacific/Port_Moresby
Kavieng Airport,KVG,Kavieng,-2.57940006256,150.807998657,PG,Pacific/Port_Moresby
Londolovit Airport,LNV,Londolovit,-3.04361009598,152.628997803,PG,Pacific/Port_Moresby
Lab Lab Airport,LAB,Lab Lab Mission,-5.7204,148.0566,PG,Pacific/Port_Moresby
Lowai Airport,LWI,Lowai,-6.3344,146.6458,PG,Pacific/Port_Moresby
Leron Plains Airport,LPN,Leron Plains,-6.3917,146.3434,PG,Pacific/Port_Moresby
Lese Airport,LNG,Lese,-8.2799,146.2765,PG,Pacific/Port_Moresby
Long Island Airport,LSJ,Long Island,-5.3604,147.0177,PG,Pacific/Port_Moresby
Manari Airport,MRM,Manari,-9.1908,147.6219,PG,Pacific/Port_Moresby
Morobe Airport,OBM,Morobe,-7.74,147.59,PG,Pacific/Port_Moresby
Madang Airport,MAG,Madang,-5.20707988739,145.789001465,PG,Pacific/Port_Moresby
Mount Hagen Kagamuga Airport,HGU,Mount Hagen,-5.828212,144.299412,PG,Pacific/Port_Moresby
Mougulu Airport,GUV,Mougulu,-6.280859,142.420775,PG,Pacific/Port_Moresby
Mendi Airport,MDU,Mendi,-6.14774,143.656998,PG,Pacific/Port_Moresby
Momote Airport,MAS,Manus Island,-2.06189,147.423996,PG,Pacific/Port_Moresby
Moro Airport,MXH,Moro,-6.36332988739,143.238006592,PG,Pacific/Port_Moresby
Misima Island Airport,MIS,Misima Island,-10.6892004013,152.837997437,PG,Pacific/Port_Moresby
Marawaka Airport,MWG,Marawaka,-6.9736,145.8849,PG,Pacific/Port_Moresby
Nankina Airport,NKN,Gwarawon,-5.837,146.4533,PG,Pacific/Port_Moresby
Negarbo(Negabo) Airport,GBF,Negarbo,-6.567778,144.703058,PG,Pacific/Port_Moresby
Manguna Airport,MFO,Manguna,-5.577778,151.792333,PG,Pacific/Port_Moresby
Kasonombe Airport,KSB,Kasonombe,-6.3819,146.9859,PG,Pacific/Port_Moresby
Nomane Airport,NMN,Namane,-6.32183,145.070667,PG,Pacific/Port_Moresby
Nambaiyufa Airport,NBA,Nambaiyufa,-6.2412,145.2424,PG,Pacific/Port_Moresby
Nadzab Airport,LAE,Lae,-6.569803,146.725977,PG,Pacific/Port_Moresby
Konge Airport,KGB,Konge,-6.2239,147.2152,PG,Pacific/Port_Moresby
Oksapmin Airport,OKP,Oksapmin,-5.2261,142.2259,PG,Pacific/Port_Moresby
Komako Airport,HOC,Komako,-7.3984,145.8827,PG,Pacific/Port_Moresby
Komaio Airport,KCJ,Komaio,-7.2714,143.5952,PG,Pacific/Port_Moresby
Koroba Airport,KDE,Koroba,-5.6952,142.7441,PG,Pacific/Port_Moresby
Open Bay Airport,OPB,Maitanakunai,-4.794727,151.696195,PG,Pacific/Port_Moresby
Pangoa Airport,PGB,Pangoa,-7.0226,141.5605,PG,Pacific/Port_Moresby
Pangia Airport,PGN,Pangia,-6.386,144.1084,PG,Pacific/Port_Moresby
Mapoda Airport,MPF,Mapoda,-7.979,143.1694,PG,Pacific/Port_Moresby
Pumani Airport,PMN,Pumani,-9.7469,149.4766,PG,Pacific/Port_Moresby
Port Moresby Jacksons International Airport,POM,Port Moresby,-9.44338035583496,147.22000122070312,PG,Pacific/Port_Moresby
Sopu Airport,SPH,Sopu,-8.3038,147.1659,PG,Pacific/Port_Moresby
Sialum Airport,SXA,Sialum,-6.0908,147.5955,PG,Pacific/Port_Moresby
Rumginae Airport,RMN,,-5.89722222222,141.271666667,PG,Pacific/Port_Moresby
Karimui Airport,KMR,Karimui,-6.4921,144.823,PG,Pacific/Port_Moresby
Maramuni Airport,MWI,Maramuni,-5.13,143.4829,PG,Pacific/Port_Moresby
May River Airstrip,MRH,May River,-4.3615,141.785,PG,Pacific/Port_Moresby
Suabi Airport,SBE,,-6.10444444444,142.278333333,PG,Pacific/Port_Moresby
Simberi Airport,NIS,Simberi Island,-2.66222222222,151.997777778,PG,Pacific/Port_Moresby
Sila Airport,SIL,Sila Mission,-9.07355555556,148.38925,PG,Pacific/Port_Moresby
Sabah Airport,SBV,Sabah,-5.5765,155.0489,PG,Pacific/Bougainville
Simbai Airport,SIM,Simbai,-5.278611111110001,144.544722222,PG,Pacific/Port_Moresby
Selbang Airport,SBC,Selbang,-5.315,141.752,PG,Pacific/Port_Moresby
Sepik Plains Airport,SPV,Sepik Plains,-3.8821,143.6734,PG,Pacific/Port_Moresby
Sauren Airport,SXW,Sauren,-5.9701,148.8543,PG,Pacific/Port_Moresby
Masa Airport,MBV,Masa,-6.345,147.591,PG,Pacific/Port_Moresby
Tari Airport,TIZ,Tari,-5.84499979019,142.947998047,PG,Pacific/Port_Moresby
Tabubil Airport,TBG,Tabubil,-5.27861,141.225998,PG,Pacific/Port_Moresby
Tapini Airport,TPI,Tapini,-8.35666666667,146.989166667,PG,Pacific/Port_Moresby
Tokua Airport,RAB,Kokopo,-4.34046,152.380005,PG,Pacific/Port_Moresby
Tekin Airport,TKW,Tekin,-5.24366666667,142.165194444,PG,Pacific/Port_Moresby
Tep Tep Airport,TEP,Teptep,-5.9553,146.5595,PG,Pacific/Port_Moresby
Tsewi Airport,TSW,Tsewi,-7.0695,146.1272,PG,Pacific/Port_Moresby
Tarakbits Airport,TRJ,Tarakbits,-5.614,141.0421,PG,Pacific/Port_Moresby
Tawa Airport,TWY,Tawa,-7.4463,146.1067,PG,Pacific/Port_Moresby
Tekadu Airport,TKB,Tekadu,-7.6808,146.5503,PG,Pacific/Port_Moresby
Aiyura Airport,AYU,Aiyura Valley,-6.33805555556,145.904166667,PG,Pacific/Port_Moresby
Umba Airport,UMC,Umba,-7.0214,145.966,PG,Pacific/Port_Moresby
Uroubi Airport,URU,Uroubi,-9.5162,148.5591,PG,Pacific/Port_Moresby
Upiara Airport,UPR,Upiara,-8.5411,142.6503,PG,Pacific/Port_Moresby
Uvol Airport,UVO,Uvol,-6.0178,150.9557,PG,Pacific/Port_Moresby
Talasea Airport,TLW,Talasea,-5.2726,150.0089,PG,Pacific/Port_Moresby
Torembi Airport,TCJ,Torembi,-4.0165,143.1329,PG,Pacific/Port_Moresby
Vanimo Airport,VAI,Vanimo,-2.6926,141.3028,PG,Pacific/Port_Moresby
Tonu Airport,TON,Tonu,-6.6552,155.4326,PG,Pacific/Bougainville
Wabo Airport,WAO,Wabo,-6.98944444444,145.075111111,PG,Pacific/Port_Moresby
Wapenamanda Airport,WBM,Wapenamanda,-5.635293,143.892231,PG,Pacific/Port_Moresby
Wawoi Falls Airport,WAJ,Wavoi Falls,-6.9523,142.6557,PG,Pacific/Port_Moresby
Wewak International Airport,WWK,Wewak,-3.58383011818,143.669006348,PG,Pacific/Port_Moresby
Wonenara Airport,WOA,Wonenara,-6.796861111110001,145.891944444,PG,Pacific/Port_Moresby
Wakunai Airport,WKN,Wakunai,-5.8603,155.2223,PG,Pacific/Bougainville
Wasu Airport,WSU,Wasu,-5.96170944919,147.19822526,PG,Pacific/Port_Moresby
Woitape Airport,WTP,Fatima Mission,-8.54583333333,147.2525,PG,Pacific/Port_Moresby
Wau Airport,WUG,Wau,-7.345556,146.718611,PG,Pacific/Port_Moresby
Yeva Airport,YVD,Yeva,-7.548,146.188,PG,Pacific/Port_Moresby
Sim Airport,SMJ,Sim,-7.75,146.9273,PG,Pacific/Port_Moresby
Weam Airport,WEP,Weam,-8.6184,141.1381,PG,Pacific/Port_Moresby
Yalumet Airport,KYX,Yalumet,-6.09,147.0117,PG,Pacific/Port_Moresby
Yasuru Airport,KSX,Yasuru,-6.6015,146.1813,PG,Pacific/Port_Moresby
Wasum Airport,WUM,Wasum,-6.0491,149.337,PG,Pacific/Port_Moresby
