SeatID,FlightID,SeatNumber,ClassID
367,18295,L31,3
368,55531,H39,2
369,74236,C39,3
370,63775,B31,2
371,53791,J30,1
372,93422,B9,4
373,88412,S41,1
374,5711,E24,3
375,74266,C8,2
376,84628,X36,2
377,63889,W22,2
378,38870,G22,4
379,2814,J31,2
380,49186,H48,2
381,27209,B47,4
382,66851,W20,2
383,3127,K43,4
384,92830,K7,4
385,52487,Z17,2
386,28669,E29,4
387,85686,W45,5
388,33876,M5,3
389,24722,F31,2
390,30050,T37,2
391,28078,B23,3
392,59274,G50,2
393,36061,T22,4
394,7675,G7,5
395,14676,R20,1
396,63227,H14,5
397,56768,E39,5
398,91951,S46,3
399,36498,T5,3
400,74777,N6,2
401,95492,R47,5
402,63039,N34,1
403,3471,S5,1
404,64449,K5,1
405,29261,R27,2
406,51606,J4,3
407,7556,X38,2
408,96672,B41,4
409,31748,P46,1
410,76849,Z49,2
411,74839,H47,1
412,45291,B48,3
413,39872,H13,5
414,83014,T23,1
415,2938,B11,1
416,48769,H31,4
417,88100,K18,3
418,41139,K37,4
419,53196,T8,2
420,93735,X2,2
421,2388,T33,3
422,82289,W4,5
423,48629,B38,4
424,35399,K34,4
425,89426,H1,1
426,49370,X35,4
427,38669,P46,2
428,75890,L16,4
429,68399,R48,4
430,2769,M40,5
431,50384,S6,3
432,35503,T50,3
433,19539,Z28,2
434,40608,P31,1
435,89916,B7,1
436,10149,W1,5
437,78057,A1,4
438,95131,F12,5
439,97452,J27,1
440,16267,B40,3
441,6821,E44,2
442,84884,K28,1
443,46294,T16,5
444,96706,R11,3
445,71496,C50,5
446,74979,G1,4
447,83236,X41,3
448,80146,C11,1
449,7100,W14,3
450,23488,B30,1
451,68895,Y5,1
452,36174,K19,5
453,69355,M10,3
454,1809,T32,3
455,59289,E50,2
456,83382,S6,2
457,93246,W49,2
458,49581,K36,5
459,46474,K49,2
460,18938,A27,4
461,14667,J9,5
462,5187,P50,3
463,63768,E45,3
464,9762,L47,4
465,12486,T6,2
466,95859,Y12,2
467,99111,D17,2
468,93492,W11,1
469,16656,M35,2
470,38824,L35,4
471,64250,G31,1
472,31067,L47,3
473,74547,G33,3
474,70637,W36,5
475,2565,Z12,1
476,69808,A50,1
477,49329,W23,3
478,31536,G17,2
479,78636,M11,3
480,96409,M20,2
481,55073,K13,4
482,19589,C25,4
483,21058,K4,3
484,11405,L20,5
485,34371,B27,1
486,14403,S49,1
487,4701,J33,5
488,16725,E18,3
489,79127,W28,5
490,60379,T31,2
491,14864,K42,4
492,7910,Y42,1
493,51018,X27,3
494,20559,G21,2
495,12940,L2,2
496,96974,W18,2
497,89593,B38,2
498,76893,S26,1
499,44166,T41,4
500,37817,R35,5
501,47555,R26,2
502,50164,N21,5
503,99676,S20,5
504,11572,T36,3
505,77666,X8,2
506,54683,E37,2
507,49233,P43,5
508,35471,J47,3
509,40334,R46,1
510,2427,H35,1
511,59324,J31,3
512,26486,T11,1
513,79826,N37,3
514,35697,T13,4
515,59127,M38,5
516,56387,M14,4
517,87444,N21,5
518,27471,G13,4
519,66590,C40,3
520,90221,G24,5
521,62321,T28,3
522,81725,A14,1
523,33321,D24,3
524,765,H14,2
525,33469,C21,2
526,81841,C47,2
527,24797,N30,2
528,84930,L24,5
529,87827,W45,4
530,88254,Y3,3
531,15703,Z30,1
532,61014,R4,5
533,42062,P35,5
534,86438,E6,4
535,96108,F22,5
536,32644,D8,3
537,87343,L22,2
538,46497,R40,4
539,99228,Y28,5
540,87324,A11,2
541,16878,A23,2
542,40129,P21,4
543,87413,Y39,4
544,76839,H18,4
545,83718,M27,3
546,70314,P27,4
547,56884,X49,2
548,83477,X29,2
549,76540,S10,5
550,84425,K43,2
551,49274,D41,4
552,65472,J34,3
553,46948,J36,4
554,25725,J41,3
555,81900,H31,5
556,15634,J48,1
557,27516,W27,2
558,85218,T48,2
559,64837,Z33,4
560,24181,P14,2
561,56696,X7,1
562,83960,L8,1
563,204,K43,1
564,26478,T32,4
565,72705,T26,2
566,47516,H35,5
567,93438,W19,4
568,26504,E10,1
569,44281,P34,5
570,51143,W17,2
571,21598,M2,1
572,45490,H21,5
573,21186,A23,5
574,68336,R15,2
575,55170,G9,5
576,18484,A7,1
577,67793,B2,4
578,95519,A4,5
579,54371,L7,5
580,32013,N29,1
581,35398,G25,2
582,3393,K33,3
583,19467,F10,4
584,27647,E47,1
585,14192,N16,3
586,5149,P1,3
587,13406,R33,4
588,31126,W1,3
589,4362,H3,5
590,79718,G1,5
591,36010,D4,4
592,39485,E19,1
593,79355,F29,3
594,2574,C44,4
595,61994,L39,4
596,28234,W14,3
597,33521,S15,4
598,60643,G50,3
599,97416,M24,2
600,84284,Y28,5
601,51546,W46,1
602,18075,G1,1
603,7147,A26,3
604,66705,Z48,1
605,47807,Z34,2
606,22984,S46,2
607,90221,S33,4
608,90094,K25,3
609,28225,K10,4
610,43467,M36,4
611,62699,B37,1
612,58336,M1,4
613,2229,E6,2
614,21419,Y13,2
615,89669,P43,4
616,91797,Y31,2
617,48790,X24,4
618,80301,B18,1
619,81454,K23,5
620,44911,S9,4
621,84598,W13,1
622,55341,M50,1
623,91407,Z3,1
624,25905,F7,4
625,69442,W10,5
626,63877,F16,1
627,44866,F18,5
628,8668,J1,4
629,51730,F37,2
630,51971,C8,4
631,74986,T18,2
632,70568,X36,3
633,40852,N39,1
634,38584,L4,4
635,36775,M12,1
636,17265,A47,4
637,49473,G35,2
638,67294,L33,1
639,79789,T36,3
640,76935,S2,2
641,79179,W49,1
642,90407,J10,5
643,94490,P14,1
644,74146,F17,3
645,1359,J30,2
646,18111,R12,3
647,96623,B34,4
648,17378,Y37,4
649,48847,G36,2
650,92683,P49,1
651,39906,K8,3
652,28256,N31,3
653,66788,M24,1
654,41047,K41,4
655,92234,M48,4
656,49727,S21,2
657,15749,J32,2
658,24261,F45,2
659,11504,K9,2
660,81471,E27,4
661,40896,Y4,5
662,69951,H36,2
663,40608,T18,2
664,64189,R10,3
665,68622,A43,2
666,94147,H11,2
667,50594,T26,1
668,53862,K21,4
669,76817,T21,3
670,71243,S14,4
671,59758,R17,2
672,32841,E24,5
673,59191,L38,5
674,9736,X15,3
675,67676,P33,3
676,96424,D26,2
677,65043,D40,4
678,77116,N32,5
679,85873,S38,4
680,64873,Y47,5
681,48491,E10,2
682,31144,X2,2
683,56410,T40,2
684,69938,J21,5
685,78626,H7,5
686,86895,D47,5
687,31589,L37,4
688,25132,S45,5
689,80901,N15,5
690,69703,Z46,4
691,59536,Z6,3
692,35188,F20,4
693,63194,R39,3
694,83315,S38,1
695,38062,R31,1
696,85467,C36,3
697,82419,Y13,3
698,84417,P16,5
699,27570,N28,1
700,64245,E34,5
701,45451,Z34,2
702,52073,X6,5
703,87656,A26,2
704,93359,G45,2
705,51283,N22,1
706,63982,P14,2
707,3865,T25,2
708,58391,W21,3
709,33479,Y3,4
710,81512,Z49,1
711,61869,M25,3
712,75923,J18,2
713,8371,M20,5
714,22940,R10,4
715,897,L33,4
716,3467,E32,1
717,73032,W35,2
718,20519,F37,4
719,54342,L35,3
720,96762,Z31,1
721,95601,A28,3
722,76475,T34,2
723,91542,J29,1
724,21473,T12,4
725,17022,F23,5
726,74837,K16,5
727,87328,X43,1
728,37540,S47,2
729,69880,L19,5
730,88774,D22,5
731,58394,H47,4
732,18061,G35,2
733,56707,L48,2
734,82969,R32,3
735,17330,Z20,3
736,15754,R20,5
737,96841,L27,2
738,62172,T12,1
739,57443,J40,2
740,4136,B32,1
741,39576,K20,2
742,44683,B36,5
743,60484,K32,4
744,54997,L18,5
745,47975,C3,4
746,93083,J36,5
747,73171,E18,4
748,60769,K6,2
749,73596,P33,5
750,98399,X11,3
751,67983,M8,4
752,50684,L1,4
753,67538,E11,3
754,7260,S18,4
755,5397,G33,1
756,29584,P1,4
757,22629,A7,2
758,84065,Z15,3
759,47653,N17,3
760,76823,P39,1
761,10802,L24,5
762,85664,D24,1
763,27105,F12,4
764,12365,W34,5
765,18738,M35,3
766,37864,F27,1
767,3578,G28,2
768,31250,X4,4
769,69271,Z49,5
770,25941,D15,3
771,83527,L13,4
772,66294,N7,2
773,93375,L14,2
774,16568,A42,5
775,44508,A48,3
776,23840,W1,4
777,95334,C43,2
778,42527,Y15,2
779,90419,C9,3
780,80709,F33,3
781,60256,D20,5
782,81998,M31,2
783,94583,C7,1
784,17964,E12,1
785,30123,W11,3
786,49447,P45,2
787,67361,J26,3
788,30544,Z44,5
789,11319,S44,3
790,15996,R28,3
791,22125,X46,4
792,76776,D24,1
793,71919,M35,1
794,74766,C10,2
795,77692,Y16,3
796,72020,P15,4
797,35105,P42,5
798,57499,P22,1
799,97311,P38,3
800,30040,W12,2
801,89122,G27,5
802,39096,P18,2
803,11374,Y38,4
804,24091,E17,5
805,94462,B39,2
806,95987,W39,3
807,47330,N2,5
808,95284,F33,3
809,3657,R40,2
810,77225,A3,2
811,31967,K13,4
812,85695,H40,4
813,65316,M28,1
814,39619,G1,3
815,57834,K41,4
816,45428,X42,1
817,88240,A23,1
818,82152,W36,4
819,64806,T4,3
820,77032,H17,5
821,81815,P20,5
822,61637,E17,4
823,65689,H42,2
824,25781,M31,3
825,74765,X34,1
826,57708,R40,4
827,68088,Z17,4
828,30145,A19,4
829,83001,D36,3
830,44675,A24,1
831,68094,E9,1
832,67276,W48,3
833,62937,Z19,4
834,25386,L6,1
835,68429,E44,5
836,62841,D45,2
837,5955,X27,1
838,92617,P43,4
839,91288,M1,3
840,12766,W33,4
841,19079,J17,2
842,50966,R12,3
843,2395,S36,2
844,92390,M16,5
845,44526,F13,3
846,69959,L18,3
847,59854,J31,1
848,8214,E14,2
849,13098,R15,3
850,40782,W30,2
851,79828,W29,1
852,42890,F36,4
853,98064,J33,3
854,4519,F26,1
855,32478,L6,2
856,33315,P24,3
857,90576,K31,4
858,48795,J17,3
859,57478,Y25,2
860,94511,H19,3
861,92950,M50,2
862,409,F19,5
863,14525,R10,1
864,29108,R28,3
865,91414,G50,4
866,28593,R29,1
867,4880,E13,5
868,49045,A19,4
869,73570,L11,1
870,79646,D25,5
871,77622,P15,3
872,48111,N34,5
873,71473,E45,2
874,64016,F37,1
875,12277,P17,4
876,61704,H23,4
877,92353,T13,3
878,96709,T34,3
879,66849,K15,5
880,45836,L5,5
881,90792,B4,4
882,70562,L13,3
883,13484,T1,5
884,8637,W35,3
885,49597,X29,2
886,40426,B8,4
887,15365,C41,2
888,81986,F7,2
889,2885,J18,3
890,57725,E23,3
891,91090,C46,2
892,81211,Z43,1
893,7543,A34,2
894,96905,H16,4
895,72093,W38,4
896,47734,N34,4
897,714,N44,1
898,72651,A18,1
899,73078,J25,4
900,45442,W2,4
901,82576,K24,5
902,42037,P50,4
903,96202,W36,2
904,63220,T41,4
905,35267,R44,3
906,72333,P22,2
907,60211,R36,1
908,52674,Y25,5
909,51547,H44,5
910,11466,J27,4
911,22159,N3,1
912,22851,Z21,2
913,11069,X15,2
914,80509,Y8,3
915,73344,P33,4
916,43376,C16,5
917,15225,T1,4
918,25548,A4,3
919,13314,F37,5
920,79485,P33,5
921,25021,Y5,4
922,65958,X48,1
923,55168,S38,3
924,80227,T43,3
925,77364,K11,2
926,35392,D42,3
927,37792,J27,2
928,45587,G37,4
929,93551,R40,5
930,43481,K33,2
931,9009,R20,2
932,53999,P11,2
933,66988,J37,5
934,11161,P5,4
935,69111,K3,3
936,70331,F23,2
937,45851,S30,3
938,88119,N33,1
939,43988,S24,1
940,22575,C6,2
941,43055,S21,1
942,29365,G30,2
943,66817,L11,4
944,26100,Y26,5
945,67910,F35,2
946,36964,S6,1
947,33473,N33,1
948,27126,A17,3
949,53025,A21,1
950,45744,R8,5
951,14848,S32,1
952,26541,K3,3
953,12005,Y21,5
954,87479,W4,5
955,50237,K3,3
956,23340,X12,1
957,64977,A4,3
958,15967,H20,2
959,76831,G5,1
960,56129,X20,2
961,94348,K24,4
962,78734,W22,1
963,89588,T36,1
964,93282,X8,5
965,75268,G15,4
966,61042,G14,2
967,54006,H14,2
968,32909,F42,4
969,61828,D41,4
970,99428,M12,3
971,30327,J36,5
972,13521,R4,1
973,63618,W16,1
974,62464,Z36,1
975,91525,R21,1
976,18443,J33,2
977,72774,Y4,1
978,58532,L34,4
979,97206,N13,5
980,48710,L37,2
981,43961,N34,5
982,73827,Z4,5
983,64915,Z22,3
984,7744,B41,2
985,66180,R18,3
986,56405,R34,2
987,75147,H10,3
988,751,N19,2
989,98956,Z2,2
990,19906,K36,5
991,99233,K5,4
992,23585,X45,2
993,21415,N36,3
994,16033,T38,1
995,51846,H32,5
996,91824,G39,1
997,41679,Z44,5
998,43243,R37,3
999,63881,S43,1
1000,62353,Z38,2
1001,78408,A15,5
1002,66523,W3,3
1003,67812,M4,4
1004,43105,X39,4
1005,62368,N9,1
1006,62471,T33,4
1007,99968,S21,5
1008,98638,W10,1
1009,87104,F19,5
1010,56518,Z25,1
1011,8938,D16,4
1012,91761,N10,3
1013,74162,P45,4
1014,413,Z46,2
1015,36766,M43,1
1016,6185,Z7,4
1017,95864,N19,4
1018,31993,B41,1
1019,91768,K8,4
1020,47350,S16,5
1021,72392,C2,2
1022,2123,W40,3
1023,44624,Y38,4
1024,88462,D40,2
1025,64330,L1,2
1026,68737,J29,5
1027,7133,M46,4
1028,97102,P44,5
1029,60258,F14,2
1030,56514,C19,2
1031,69551,K45,1
1032,46719,T38,3
1033,87819,M41,4
1034,2703,P48,1
1035,89443,F50,1
1036,59126,B31,3
1037,59177,H20,2
1038,69376,E24,4
1039,62848,H6,4
1040,85048,H22,1
1041,69218,B28,4
1042,28153,H42,1
1043,28019,C28,3
1044,95865,Z7,3
1045,52257,B2,2
1046,868,P25,5
1047,85373,G39,4
1048,66191,J28,1
1049,84343,H41,3
1050,60928,Z2,3
1051,98881,T22,4
1052,95373,S27,5
1053,75043,Z31,4
1054,24857,N42,3
1055,60846,F11,5
1056,40501,S28,5
1057,55056,G5,2
1058,13618,R31,2
1059,88013,B19,3
1060,54605,T28,3
1061,69148,L50,4
1062,73710,G3,1
1063,56356,Z15,5
1064,27698,D15,5
1065,56448,Y41,4
1066,763,H15,3
1067,99292,E46,4
1068,17269,A26,4
1069,62335,F46,5
1070,15913,N44,3
1071,41716,A38,3
1072,97135,Y10,3
1073,46313,B6,3
1074,91085,X25,4
1075,50750,R25,1
1076,78247,N39,4
1077,20547,F2,5
1078,80401,C31,3
1079,92104,N50,1
1080,16095,W34,3
1081,40792,X10,5
1082,92153,G16,2
1083,38716,Y2,4
1084,78512,B26,2
1085,51802,Z50,1
1086,19904,N44,2
1087,26593,L21,1
1088,46802,J2,1
1089,28130,N48,2
1090,59979,X48,3
1091,65544,L17,5
1092,54230,E47,5
1093,90744,T32,5
1094,58969,B25,2
1095,81429,X42,5
1096,73107,Y36,1
1097,8,E48,5
1098,11292,K47,4
1099,84083,M33,4
1100,70184,B47,3
1101,14023,T30,1
1102,22715,B23,3
1103,23108,G39,4
1104,39577,L7,4
1105,73237,G47,5
1106,22249,P47,4
1107,55136,T3,5
1108,88615,W6,4
1109,98194,Y38,4
1110,90805,M20,4
1111,1330,G34,2
1112,73319,S35,5
1113,58728,H7,2
1114,59136,A46,4
1115,34804,F25,4
1116,70526,F11,4
1117,51556,W11,3
1118,59724,K36,5
1119,68999,Y13,1
1120,90747,S47,1
1121,89221,W31,5
1122,88531,C1,1
1123,74185,S36,5
1124,297,Z37,2
1125,41098,F6,2
1126,65474,Z48,2
1127,54416,F13,2
1128,120,J7,1
1129,62104,T41,3
1130,70592,H23,1
1131,89630,W43,5
1132,42220,D23,4
1133,20106,M33,1
1134,41219,L15,4
1135,78386,D1,3
1136,61583,E34,3
1137,68692,A45,5
1138,81753,Z16,2
1139,32971,A41,3
1140,23334,A45,1
1141,66532,N6,5
1142,33174,W10,4
1143,56739,C34,3
1144,52048,H2,5
1145,6312,H7,1
1146,76888,Z21,2
1147,28208,R39,2
1148,28366,R9,5
1149,76928,R34,2
1150,66723,W33,2
1151,18927,B26,3
1152,40371,P50,3
1153,71764,X30,3
1154,44344,E34,5
1155,530,L11,2
1156,74808,S50,3
1157,98215,B3,3
1158,10231,C32,5
1159,92284,A35,4
1160,45727,C35,4
1161,74969,B7,3
1162,28179,Y1,1
1163,92125,F49,2
1164,22725,R26,1
1165,79145,J50,1
1166,34584,T20,4
1167,52182,M18,1
1168,39652,Y26,3
1169,1223,B28,1
1170,86731,B1,4
1171,95831,Y32,4
1172,78594,S40,2
1173,6279,W12,3
1174,10344,W25,2
1175,85295,L36,4
1176,61899,A11,3
1177,40643,S47,5
1178,47486,X41,2
1179,94098,P21,3
1180,1473,C22,2
1181,96115,M21,2
1182,38285,A11,1
1183,35938,C9,4
1184,55820,E20,3
1185,45063,A50,4
1186,1612,F49,2
1187,50360,J14,3
1188,38037,Z12,4
1189,25645,M41,5
1190,9140,F49,5
1191,28727,S27,4
1192,45550,H9,5
1193,20497,X17,1
1194,66107,N41,5
1195,86376,F40,5
1196,74785,Y3,2
1197,14263,P16,4
1198,24378,M29,3
1199,43098,T30,2
1200,79720,J12,2
1201,63833,W41,4
1202,43168,R44,1
1203,14173,A39,3
1204,25192,E35,3
1205,12736,H8,3
1206,98837,A50,2
1207,38300,S1,4
1208,66856,F19,4
1209,56596,D46,5
1210,66309,K35,1
1211,42099,G35,3
1212,99476,E12,1
1213,1370,E15,4
1214,33843,S44,2
1215,6482,J36,1
1216,33616,B32,5
1217,71867,T8,5
1218,61379,K20,5
1219,7158,S32,5
1220,21943,B14,3
1221,55184,W45,2
1222,94299,R10,5
1223,61259,D3,1
1224,25990,N28,4
1225,26267,T46,3
1226,72747,S30,5
1227,28327,B20,5
1228,29657,J17,2
1229,94458,T9,3
1230,38161,E33,4
1231,15515,L13,2
1232,1005,M50,2
1233,31261,G36,1
1234,7977,F22,3
1235,1560,K11,3
1236,96109,Z2,1
1237,47092,T15,3
1238,69508,K38,5
1239,19204,D25,2
1240,8202,Y9,4
1241,14706,G43,2
1242,87507,H45,1
1243,37226,L8,2
1244,44597,W2,1
1245,21409,X7,5
1246,64218,D38,5
1247,30318,F47,2
1248,3484,D48,1
1249,82354,E23,4
1250,97795,M1,5
1251,15271,D30,5
1252,27596,T31,3
1253,52356,H37,5
1254,35068,R36,5
1255,6872,Y41,5
1256,71312,D18,3
1257,70445,A18,5
1258,49879,B11,5
1259,25782,H8,5
1260,48571,C6,5
1261,80422,P18,5
1262,6445,T14,5
1263,12630,T26,2
1264,51024,G30,3
1265,11363,P41,4
1266,62314,N9,3
1267,15220,D45,4
1268,81324,P6,3
1269,73254,A43,4
1270,80113,R6,3
1271,13326,K35,1
1272,90988,J13,4
1273,17124,T24,1
1274,82142,R44,1
1275,56353,J1,4
1276,67594,H10,4
1277,42883,R41,3
1278,984,P24,3
1279,24176,S22,4
1280,81049,C42,1
1281,35789,C33,5
1282,68703,N7,5
1283,51131,X30,3
1284,55443,T13,3
1285,7043,Y35,3
1286,46896,X48,5
1287,47502,B47,5
1288,57854,T25,2
1289,71282,S26,4
1290,79729,A43,5
1291,73179,P24,3
1292,17471,S6,2
1293,16242,L13,1
1294,60421,F49,5
1295,88885,S24,3
1296,76378,E42,5
1297,53840,F44,3
1298,86365,B44,2
1299,1631,W6,2
1300,31720,M13,5
1301,43669,X48,4
1302,4725,P42,5
1303,43305,N34,1
1304,46503,C33,4
1305,31748,S32,5
1306,70680,G39,3
1307,89341,Z37,5
1308,14058,M16,2
1309,77627,Y14,1
1310,80384,N13,3
1311,5601,Y9,2
1312,11638,R24,3
1313,21499,Z3,2
1314,83199,B25,5
1315,16503,J17,1
1316,66929,P10,2
1317,18627,X14,2
1318,77582,R15,1
1319,30266,K17,3
1320,16764,T10,2
1321,15130,J25,2
1322,39680,B49,3
1323,21690,F44,2
1324,5676,Y22,2
1325,2137,S14,2
1326,89578,B24,1
1327,67650,Z18,3
1328,15042,W1,2
1329,46653,J22,2
1330,40035,H24,4
1331,20636,T45,5
1332,43548,K3,2
1333,8453,H6,1
1334,62777,X42,5
1335,47953,B10,1
1336,24581,G13,1
1337,49428,D33,2
1338,77015,R9,1
1339,88439,R9,4
1340,13537,L12,2
1341,36968,Y8,2
1342,50542,J37,3
1343,25038,G42,1
1344,68544,R21,5
1345,8232,G12,3
1346,67391,P39,1
1347,29004,R35,5
1348,31636,Z38,5
1349,78131,T38,2
1350,38209,L23,4
