CrewID,PilotID,HostessID,Hostess2ID,AssistantID
105,8673,2876,180,3921
106,8014,8575,8323,8610
107,2593,5062,9036,1334
108,5598,9223,2265,4558
109,1551,232,2021,3531
110,1208,4118,7502,4128
111,7865,1064,3180,3818
112,1118,5984,7922,6706
113,5232,3787,1153,4072
114,4735,5251,7316,4983
115,4704,2050,3406,2553
116,5789,5397,6461,5905
117,6290,8066,5470,9857
118,1512,513,3416,2053
119,8687,2480,8395,9086
120,4441,8981,830,5419
121,2989,1978,5312,8623
122,6005,3767,6713,1336
123,2657,1703,2732,2091
124,8949,8169,4484,7294
125,5026,2014,5241,3409
126,8262,8428,3005,9958
127,1849,6107,2455,1930
128,2943,8344,2911,7397
129,6372,6538,6486,4708
130,9595,6850,3200,9842
131,7131,8056,3501,6218
132,1422,8039,7325,2416
133,5134,3178,9907,8153
134,5299,7437,1261,8568
135,6887,6638,8880,3478
136,9406,1634,4984,163
137,6822,7617,5769,1509
138,1606,4023,1775,6785
139,6456,3480,5540,4129
140,6860,4388,8187,3421
141,4302,9331,7811,2583
142,8935,5235,1866,1154
143,531,2875,2137,4941
144,5384,4356,3045,984
145,550,9906,7189,2444
146,1031,1475,3924,4833
147,6060,771,7423,3581
148,8516,2165,9253,4066
149,6142,6818,3530,1077
150,9462,7622,4963,2969
151,3316,6436,3697,9818
152,8511,3402,9297,5941
153,1741,4492,2701,1539
154,4514,7348,2698,5562
155,2272,8929,3556,5761
156,9447,9276,8802,7691
157,5023,5618,7268,2056
158,8712,4760,9602,1524
159,9051,432,9472,389
160,7298,5799,4156,3746
161,5892,4732,1394,9920
162,7869,8959,6644,1796
163,6385,6593,2184,7199
164,3761,7261,28,3126
165,8577,8922,8310,1640
166,5634,8006,2927,7030
167,6621,5594,4402,5928
168,8156,8533,7129,3701
169,5492,6463,918,9288
170,8252,8784,7596,3785
171,6040,9815,8129,5955
172,4293,3390,3465,5681
173,2396,9783,4452,1069
174,7956,7003,8929,2292
175,213,9524,1487,7353
176,9346,259,7229,7190
177,5418,6630,4273,1051
178,9943,8187,537,8817
179,1483,9640,7348,9371
180,6318,8169,8954,670
181,1807,1100,328,1401
182,5057,8872,6530,4976
183,3131,8356,9547,1306
184,7195,1943,9823,4558
185,7869,7766,28,1172
186,4920,7325,1346,4662
187,3761,2531,2143,4740
188,7193,5251,6105,1355
189,6422,9478,281,1843
190,8612,3053,8769,6814
191,357,2656,4568,7255
192,3738,9724,8864,2005
193,6362,1929,1393,3360
194,7852,2498,4995,8468
195,3747,6594,1977,1280
196,2339,6895,9029,7887
197,5130,8618,7000,3119
198,7829,4074,7666,3628
199,8511,6828,6121,9555
200,8642,8168,5614,9951
201,2892,7379,9722,5524
202,7434,1862,6626,8340
203,6491,6590,197,730
204,1096,6157,3579,6917
205,6038,4809,1546,4062
206,2338,279,4795,8552
207,7661,8914,8765,3788
208,4758,2620,9781,1582
209,9113,8381,7425,2678
210,8875,6452,4737,292
211,5064,7735,7511,1616
212,3134,257,8784,1880
213,4692,1978,8213,8339
214,7035,6273,5843,9092
215,5399,9688,9840,9900
216,3957,1079,1039,938
217,5018,8718,365,2136
218,5444,1177,7780,9568
219,2009,4888,1153,9117
220,9185,2863,7510,7504
221,9479,6709,4388,8973
222,3850,1351,6945,9141
223,8847,5734,1407,2761
224,4893,9636,889,9188
225,6822,5563,5472,8224
226,2193,9002,5449,9396
227,6860,2480,5266,5796
228,4254,7150,1686,6661
229,5645,8461,6431,1522
230,8440,1447,1190,3028
231,7320,3080,3030,931
232,9825,3946,8022,6507
233,8811,9377,6200,4149
234,5378,4618,1663,5441
235,7273,8542,9224,4183
236,4935,608,6807,9081
237,1255,9335,2738,7486
238,642,4922,1153,4181
239,1941,6573,6334,2851
240,9487,7390,2194,1603
241,1513,4589,4988,2776
242,128,5946,4018,5547
243,447,5611,3398,8040
244,9650,8896,4912,6438
245,5405,4923,4504,3868
246,6487,6260,4909,1048
247,7727,2089,7130,7467
248,6074,6104,6679,4190
249,9894,7123,4917,95
250,7946,8334,2617,4336
251,1942,2453,8373,1183
252,5528,8647,57,1152
253,5000,7365,5762,8339
254,9147,1737,5545,4736
255,349,9987,1330,8686
256,5794,6948,8063,8925
257,1886,8846,3221,1172
258,4579,8116,7140,7646
259,8567,8136,7292,6091
260,1342,2077,3679,6763
261,9893,4917,6092,1298
262,9790,8611,8010,1091
263,30,4413,7697,7986
264,8127,5648,2417,5380
265,4345,3431,8327,1178
266,4133,3314,3326,5336
267,4918,5545,2936,2850
268,2230,1699,5762,3156
269,9065,6264,3743,6359
270,4876,8442,5760,2902
271,2190,218,840,9847
272,8033,7450,3240,5508
273,2040,9922,260,1598
274,3575,1103,6,645
275,8532,3450,9010,6518
276,9078,9828,197,9100
277,4133,1939,793,3766
278,4081,4032,6086,288
279,4016,8175,2326,3573
280,9216,5496,6201,2365
281,7769,2940,8155,379
282,795,8210,7170,985
283,7836,8169,2219,8541
284,8780,1806,8564,573
285,3841,1087,4881,9853
286,5813,1317,3178,7353
287,400,3066,4476,8120
288,4438,5618,7616,3715
289,2621,2138,8175,9109
290,623,7750,6991,978
291,6113,5335,4589,1515
292,1464,5296,8724,7492
293,8689,4418,3077,9537
294,5977,715,2329,1139
295,892,3255,5903,3722
296,7761,1716,8181,2595
297,2276,8719,5984,4387
298,8426,7247,1149,3426
299,2765,5340,5420,9332
300,5570,5180,1005,3708
301,3576,2371,2883,228
302,41,9837,3718,4976
303,1627,8591,8116,9288
304,4433,1700,7686,6764
305,2537,5752,4937,1598
306,3032,6651,3815,4306
307,1914,7525,6094,3478
308,4016,2398,9271,7476
309,9240,763,7652,3647
310,9753,4737,4810,704
311,6724,74,1533,372
312,6809,157,7962,4178
313,7391,3526,7061,8630
314,5146,354,3806,3762
315,8158,6718,2238,5549
316,9949,4787,8184,6192
317,3994,6713,6342,3505
318,6789,5816,4089,2182
319,371,8926,4442,3833
320,8351,1062,6640,8106
321,2232,7053,1546,7294
322,8237,8336,5258,7807
323,1146,4647,8181,6340
324,3109,6326,2796,6392
325,3943,9545,4535,1199
326,3445,2694,1317,1557
327,6935,4577,3007,6518
328,2202,5149,7596,1495
329,2603,7916,1806,1485
330,6415,1583,7716,974
331,7067,141,9992,2347
332,3142,7378,4742,1042
333,9301,1673,6597,9752
334,3316,1826,3751,7341
335,1055,5995,3081,2300
336,4243,294,3326,457
337,3740,6022,3697,578
338,1759,2374,9780,9685
339,6055,6497,8823,4976
340,3085,2688,2685,6827
341,586,5679,3503,3715
342,4601,1855,318,8280
343,4901,4587,1423,6732
344,9569,9058,2206,5625
345,9023,5464,3144,7451
346,3453,6854,1456,9956
347,2767,1002,3140,1560
348,3246,1824,9629,403
349,8244,1689,7498,967
350,6489,2528,5166,4142
351,5002,2436,7145,6587
352,5466,6609,1348,4635
353,6072,5190,8722,820
354,1852,5862,8575,6509
355,1680,2010,796,580
356,6330,1733,1417,950
357,597,3294,1177,61
358,2467,6637,5056,6352
359,7800,7316,5207,4904
360,7577,1554,5988,8117
361,3493,5519,7757,9546
362,2249,2478,8752,6039
363,4580,9470,8589,6492
364,5950,3475,6510,4215
365,1872,5993,9012,8190
366,6592,3940,5340,2163
367,7743,588,662,8688
368,3108,9843,8754,3895
369,3319,5791,8917,9141
370,1981,8844,4744,9359
371,4358,5172,8461,7633
372,3362,2996,678,3380
373,3677,3979,6148,321
374,2970,4214,7510,7704
375,792,7853,8071,7353
376,9308,7437,4513,253
377,3165,9828,6854,3295
378,5881,2410,4145,1290
379,7503,5098,5485,4005
380,5854,4628,4823,4541
381,6524,7002,9127,3521
382,2514,2443,7765,4168
383,4230,6406,4347,1363
384,3425,4096,6496,5910
385,3047,6401,2222,362
386,6451,9675,9605,4373
387,5286,4010,2092,317
388,7586,8801,1625,5421
389,8737,7241,7976,3746
390,8212,9472,5266,5084
391,8312,6450,1554,2415
392,9247,4568,9103,5368
393,2202,6651,4853,5532
394,6278,5241,9668,6617
395,6970,7672,4023,2886
396,7322,560,7657,5666
397,5068,122,8387,7340
398,499,736,2076,9516
399,4077,3787,7937,5871
400,7978,4263,7758,8150
401,1026,8617,7425,2068
402,5026,4681,3588,4635
403,9759,4850,6417,6542
404,844,4626,3732,5532
405,5234,8636,7333,9568
406,8643,9780,3753,7964
407,9329,2092,388,5549
408,2193,5472,5079,4662
409,3692,141,5496,4578
410,8915,2696,9440,9804
411,4695,4369,1242,739
412,7602,8761,1455,3370
413,1553,4486,5507,8559
414,1164,4508,8148,1364
415,5604,436,4055,3478
416,5859,4678,180,1234
417,1446,6180,9222,8180
418,9094,8470,1912,5921
419,4481,8724,4508,2604
420,4258,3361,2728,5508
421,2932,6406,6538,5255
422,9817,1311,4231,2954
423,7760,1316,4440,9448
424,7577,5553,7794,4958
425,8857,9345,8545,7961
426,9152,5424,2927,2344
427,9764,6681,6103,3276
428,4162,8823,2269,9882
429,6321,9277,9228,2590
430,3853,8348,1326,7948
431,6984,4118,7464,2647
432,9977,2531,8993,1197
433,4079,1647,3026,1628
434,7751,757,5651,908
435,2403,9167,6016,5198
436,6863,5693,230,458
437,2058,1447,7765,7939
438,3205,7705,4169,2125
439,6567,6148,9840,1787
440,4679,6578,3397,7329
441,9082,5980,4981,8104
442,6080,8323,8416,7202
443,4013,50,5832,6073
444,6779,4020,3398,6568
445,3847,6167,7995,8135
446,9459,4830,9985,6242
447,1367,2992,9948,5860
448,6603,6756,2885,666
449,6588,3005,7260,3276
450,8244,2122,6856,9027
451,447,6945,4488,3990
452,3264,8580,771,5193
453,1192,4452,4289,8845
454,3545,78,206,3456
455,8714,242,3200,2407
456,5256,7905,5830,7684
457,5646,7425,4787,6560
458,6869,9050,7112,2758
459,7420,9837,9614,5506
460,6819,8540,7342,8377
461,581,5295,846,1013
462,9716,6816,9468,7592
463,7196,260,7125,6735
464,5347,3388,7736,2334
465,5063,7566,8753,2415
466,4441,2543,1624,8465
467,9399,3579,3706,1894
468,8869,7559,6577,1666
469,8158,4442,5935,1315
470,3208,6774,4551,3505
471,6972,4453,6076,2772
472,8671,9336,4280,6175
473,7279,8825,86,5969
474,8486,5934,5408,9995
475,3127,516,647,4840
476,6274,7512,1727,2300
477,5405,4710,7295,870
478,7269,9837,7014,3292
479,4641,7670,9224,1967
480,3316,8412,4167,2693
481,1245,7698,7053,8451
482,7350,1703,4723,2726
483,3252,8173,2630,6539
484,7710,5288,9835,1097
485,6691,825,354,8238
486,6930,3062,7628,3746
487,6114,1301,8016,4700
488,8093,7168,2958,1787
489,9023,4908,1925,337
490,6014,9297,4158,2977
491,8687,2700,5581,2889
492,5331,5352,1823,6238
493,1078,4087,9816,8688
494,5347,9124,7717,7200
495,2183,9577,7838,8117
496,2255,3900,1147,9169
497,6646,8501,2004,7367
498,7993,3979,1057,8686
499,8160,162,4792,4872
500,5132,4497,3922,7883
501,2915,4916,5474,901
502,2457,4118,7501,3748
503,9170,9436,6609,7062
504,6517,3546,6924,2334
505,1510,9189,1388,7353
506,4758,9047,4655,3259
507,1991,9455,4331,5451
508,6501,1060,1165,6239
509,2111,4099,3253,1524
510,8211,5581,6207,7289
511,6074,3644,9360,164
512,7381,8459,3348,1401
513,8822,3707,4376,422
514,1910,5279,9395,1555
515,6935,4123,1155,1932
516,6135,3940,6585,6870
517,2135,2382,3900,1894
518,2995,2885,230,7805
519,993,4589,1523,6175
520,5661,5895,2143,7355
521,4393,3406,7385,8157
522,8363,4002,2742,1298
523,1798,2290,5784,604
524,5788,6924,1618,134
525,1028,5195,771,6782
526,4506,6874,3189,2821
527,7312,9625,7997,8060
528,7196,112,6461,5879
529,7088,2465,3578,7921
530,9400,1479,8991,6052
531,2096,1693,1316,8683
532,8818,470,1604,5121
533,7023,60,7305,6533
534,6527,7642,3981,243
535,1398,1575,4483,8902
536,2635,3088,9850,4633
537,1896,4156,4849,6542
538,5367,3787,9562,5556
539,2621,2004,3979,544
540,6798,3318,6259,979
541,5333,9694,935,9551
542,8251,6920,4418,7355
543,3115,3736,3420,834
544,9770,9689,3336,1890
545,6230,9840,1929,2389
546,2446,840,1783,998
547,7906,6594,2873,6218
548,3134,2122,1923,7973
549,8749,1775,843,3224
550,9836,8327,4171,9966
551,7023,3253,1692,2213
552,3032,6264,8218,6228
553,5448,3504,2490,3866
554,2373,2018,2140,7347
555,7784,5589,4973,7060
556,7978,1689,1317,858
557,589,6986,406,4851
558,5916,3707,7605,4299
559,4495,8487,839,8278
560,3677,2469,1753,4030
561,4758,4280,5116,6589
562,7880,7297,8469,9747
563,8450,4304,6078,613
564,34,9757,1049,7855
565,2812,7690,1755,4406
566,3112,7666,16,5787
567,3044,2982,4014,5126
568,2096,9468,2714,6675
569,9193,9401,8762,2575
570,2712,517,2931,4292
571,9549,4595,2688,2861
572,4297,2730,4923,3171
573,9648,2707,4868,7640
574,4341,3040,3537,2772
575,6287,6784,112,1730
576,5621,8710,6817,7788
577,9549,6653,538,3201
578,7915,4725,6297,893
579,7314,9361,624,1916
580,2674,676,8210,7702
581,2763,8976,757,6143
582,5690,6204,252,7824
583,1641,1753,7841,8508
584,6949,7733,4919,2509
585,8601,8017,7953,7539
586,4777,3822,9310,450
587,7803,1823,7268,6073
588,7193,6512,8831,1569
589,9386,4922,5167,5197
590,1704,9163,5373,811
591,8522,9915,2573,3945
592,6033,6875,5618,1235
593,6232,9968,517,6340
594,5275,3269,3556,3061
595,8744,485,3318,6907
596,3237,9025,8644,5382
597,562,7498,78,3604
598,3998,7991,3053,399
599,1284,8580,6558,6977
600,7641,2885,2351,1515
601,3483,281,5205,9691
602,8526,8344,3040,1061
603,8394,4175,178,1010
604,705,516,6777,3214
605,8853,2805,5884,4762
606,9608,1194,5773,8552
607,6415,4572,951,4509
608,3672,9310,4103,6238
609,6169,7109,5424,7398
610,8910,6408,2044,1666
611,9672,911,2921,5308
612,3636,6558,1670,6492
613,936,7790,8412,6612
614,6890,3958,6753,5904
615,9240,8470,1990,4469
616,7375,5573,4167,165
617,9308,5759,576,9563
618,2593,4906,2617,6288
619,8645,7730,3107,4891
620,8074,3687,2071,8410
621,3167,2490,6581,9031
622,2115,3107,9296,8214
623,5125,3679,109,5102
624,6411,2149,8089,4845
625,6849,2210,8013,9804
626,790,8078,4186,3015
627,4117,7837,1700,3414
628,7481,3352,7502,9805
629,5621,3697,7759,1485
630,8088,4591,9533,2133
631,778,916,259,2300
632,9732,7458,4231,9616
633,82,9743,969,2510
634,5009,9436,2417,976
635,4601,8983,9713,382
636,9329,7793,7444,8552
637,4813,3462,8917,3375
638,7282,2371,162,8368
639,6274,122,218,2925
640,2023,4107,3387,5463
641,7186,5040,9089,2292
642,9628,1249,4906,3012
643,6232,5177,7333,7844
644,786,8035,4067,5700
645,6743,7765,7477,7724
646,8217,2293,529,9932
647,3919,4888,5988,4834
648,2358,3302,2798,7492
649,5979,7226,6919,1726
650,8325,3144,6103,1890
651,1610,8483,1130,9552
652,1219,6374,9292,9766
653,2872,6932,1925,7633
654,6001,6459,5842,5787
655,4493,5202,9136,6658
656,917,6158,8664,6721
657,5064,218,6710,9219
658,7320,3151,4760,4128
659,454,2240,4883,8806
660,9871,767,6144,5556
661,711,7356,6112,8018
662,8655,8982,1840,1097
663,786,6569,432,544
664,6113,4973,4765,2365
665,5886,177,1912,4715
666,2533,9291,818,4669
667,8668,8767,5285,5879
668,2677,3322,1622,7203
669,2830,7220,1179,1229
670,2951,2103,5240,3315
671,860,669,7310,2390
672,4218,4658,8960,7467
673,6887,8099,3018,8040
674,2970,529,1064,42
675,1845,2210,6131,2432
676,8495,7104,1373,8140
677,4896,682,8512,7005
678,6063,6790,8891,9031
679,6972,7204,6108,2828
680,3730,8370,5494,2151
681,4772,5461,7500,1946
682,8095,7177,6576,4427
683,8098,9767,6452,1632
684,6614,8777,9918,1600
685,8265,8922,1777,9454
686,742,5035,1956,9510
687,1818,5806,4407,9381
688,7637,1437,620,7646
689,9728,6452,9531,4662
690,4494,2641,639,27
691,2856,3961,6108,8060
692,4716,1544,6595,1892
693,5810,4800,37,2075
694,4720,983,4453,2273
695,6970,4595,3824,6172
696,8033,7580,9217,8848
697,4120,1993,4339,6683
698,6487,5283,3407,6966
699,1961,7,6209,4457
700,7273,88,7553,4397
701,7281,4074,8644,6933
702,7217,7793,3336,9212
703,2699,8059,3806,8986
704,9302,2999,4184,2993
705,1683,210,516,5909
706,1781,7995,9695,2925
707,454,5228,6388,3604
708,1271,1621,3117,4206
709,5142,923,7053,8629
710,6280,9283,7840,4934
711,3483,2097,102,4921
712,8052,4861,1241,1791
713,6759,9593,877,7147
714,8992,669,9577,7681
715,144,5895,31,8112
716,2340,5262,5295,4306
717,9166,1201,588,5603
718,1369,1436,5988,2389
719,6969,4046,1596,4288
720,695,3821,4817,4
721,6010,2883,2207,9483
722,6960,6482,8463,3301
723,6170,4439,8972,7043
724,1895,6026,1324,7317
725,4580,9274,2962,7228
726,6690,5553,2522,3871
727,6420,2899,4138,6693
728,2651,9821,8993,9736
729,2680,2936,2172,5260
730,4104,2476,7888,938
731,6647,997,9344,9924
732,4896,6961,5902,3750
733,551,5501,8950,8314
734,7784,9415,6669,4219
735,1142,4672,4574,6509
736,5620,3372,5939,1930
737,9301,8607,5987,8138
738,1211,9197,7123,3371
739,8495,1733,6104,2862
740,929,5318,5174,9958
741,124,2459,9844,6218
742,1321,1853,2225,2655
743,7761,5976,3557,212
744,7474,1481,1744,7224
745,8905,2131,5903,4871
746,2349,2127,5973,5848
747,4056,6204,9939,7604
748,8122,122,9271,9666
749,3284,771,4628,1193
750,7727,3894,4981,4915
751,8875,5257,4276,749
752,4205,9210,1806,7347
753,9774,318,6464,1461
754,1805,4113,8530,5613
755,7371,6404,4135,5236
756,9352,5417,1554,3422
757,7907,7997,5889,6424
758,5080,7913,4175,9279
759,8942,1373,505,9574
760,4692,3232,9439,6763
761,2521,6131,216,4613
762,6279,1486,1261,4797
763,8566,5383,6777,5329
764,2366,428,1002,3567
765,913,1681,1106,9769
766,7546,6774,1292,5293
767,2160,1780,4636,3986
768,6080,9921,8617,4124
769,5000,4517,8222,176
770,6010,3801,771,7537
771,9386,5402,4483,8290
772,5695,1681,6078,3897
773,2338,2692,1267,222
774,8576,3883,2303,3680
775,8264,1977,4658,4925
776,503,4467,4037,6008
777,9798,6386,4972,9661
778,8215,7500,1784,1347
779,7105,5935,4032,7059
780,8992,1447,1782,8185
781,917,7487,5098,8253
782,5996,1194,1407,8285
783,5664,9607,7867,2264
784,511,6572,8543,368
785,6546,6461,6379,4666
786,4091,7080,1919,4177
787,4624,9697,9138,5659
788,3856,1348,9450,1517
789,7098,7793,4106,1585
790,4505,5262,687,1307
791,6754,2312,7802,1081
792,3143,8982,8711,9125
793,9588,5241,6244,601
794,4265,1760,84,1930
795,3692,5407,1700,754
796,1059,9274,6162,6211
797,7394,471,5851,9376
798,8642,4381,7838,3867
799,764,7247,4184,2726
800,7019,7799,1735,978
801,3874,7866,5469,4434
802,3334,6796,2351,6884
803,189,7284,1388,9654
804,8654,4732,8057,6938
805,139,426,4555,5599
806,8879,5510,178,3015
807,9308,2283,80,2849
808,295,7551,1385,1133
809,8996,4661,9708,722
810,3595,86,5191,6389
811,7319,5551,3693,5171
812,1525,1487,4890,5394
813,3346,8287,8628,1414
814,752,5417,3821,1856
815,9998,5999,6856,5732
816,7375,1720,4251,7999
817,1368,7189,2333,2105
818,952,8219,2904,8257
819,2484,5657,2860,3019
820,3778,2865,1686,2611
821,5155,2131,6611,6011
822,5186,8491,4661,3915
823,875,6307,5305,4412
824,5440,6099,9696,3882
825,2924,3097,7750,4054
826,5695,6644,3978,3283
827,6582,583,3269,2105
828,7532,2908,878,9723
829,3936,8981,4486,2292
830,5324,9427,8167,1973
831,8454,3185,2317,4387
832,1798,8182,2927,6228
833,1344,1002,2505,8473
834,4176,2548,5097,7927
835,6142,8397,2719,8817
836,1206,5167,3185,1932
837,7306,9165,6811,7633
838,4772,2881,3775,9609
839,4559,1862,796,3478
840,9811,7458,3415,8220
841,3847,7325,1187,9235
842,6831,6106,3883,8969
843,9398,2865,4221,8559
844,1045,7464,6757,1946
845,9408,9062,6202,95
846,2906,8796,4251,7684
847,5750,9509,7221,1216
848,2452,576,5580,3439
849,1044,763,7362,8856
850,3564,4724,1918,3285
851,8634,1716,9415,389
852,326,4499,7452,3876
853,2466,8704,6606,1132
854,5170,8072,9165,5182
855,6928,3405,3262,8245
856,32,1011,6817,1572
857,5745,9961,4202,9954
858,727,5383,980,7472
859,5874,6737,9036,7057
860,2155,7390,4759,1685
861,5384,6676,2498,2918
862,6734,5862,1561,6418
863,8532,2210,7101,7718
864,5916,3242,3920,4845
865,3188,9209,5172,3854
866,1406,3596,1651,2766
867,6197,7662,8970,1318
868,9161,1996,4971,6353
869,105,3506,9993,5562
870,3183,1441,2303,5603
871,307,1709,7428,7252
872,4783,5957,365,1717
873,2289,5503,7438,9551
874,9496,8461,104,4753
875,1145,4848,6569,3539
876,6203,4471,9722,4824
877,2043,3123,4909,782
878,2452,2893,2443,1900
879,4437,9324,5128,4820
880,9886,6585,8739,6432
881,8621,2581,718,1463
882,6293,7712,7991,9173
883,9570,3650,2455,7850
884,105,8296,1575,7770
885,396,4099,6879,5465
886,5156,686,9230,8097
887,4028,4169,9303,1497
888,733,7558,3992,7610
889,2229,393,8110,8451
890,7674,8111,8545,1229
891,3728,4347,7258,5541
892,1788,9488,576,6312
893,6030,9241,3407,5539
894,8279,7295,7799,2737
895,8907,3227,6745,9085
896,5110,9335,7140,6617
897,8270,8169,4033,3723
898,6970,9158,1456,2535
899,7719,5519,70,1557
900,1805,3942,5433,5818
901,7427,1760,5420,1577
902,8744,6909,5178,3837
903,2852,5585,1479,8214
904,982,7913,628,215
905,863,6020,1854,7178
906,9877,6713,6024,4142
907,9549,3390,5345,18
908,6474,6341,5651,7795
909,1827,9062,3253,5712
910,982,4883,2734,1549
911,5986,6901,2584,6409
912,4120,2252,9584,7443
913,7181,5648,3699,2634
914,5000,6756,2579,7824
915,5311,941,7145,148
916,8363,7897,2565,5630
917,8654,2898,7180,4195
918,9091,5157,980,1909
919,5962,3040,7690,151
920,4075,5464,6526,7924
921,4780,3638,234,3500
922,7755,328,3591,6799
923,3694,8972,8148,4161
924,5259,1177,743,7136
925,1521,9921,8416,4831
926,4604,6883,7738,9950
927,503,1317,8983,8904
928,5943,329,6459,7417
929,2887,9427,4275,367
930,4254,5942,4810,4805
931,540,5157,3622,6356
932,970,4628,104,2415
933,7729,7130,7794,1717
934,8885,7666,6049,292
935,4162,5247,2238,8206
936,3157,793,5501,9710
937,5983,6351,823,2148
938,810,757,3437,3168
939,3657,195,3775,819
940,2086,6017,3303,6335
941,8855,725,4488,3726
942,8000,8753,630,8686
943,2107,678,7268,8077
944,2180,4649,6202,3708
945,1627,432,8644,2324
946,4001,6459,4252,467
947,8522,3443,1670,9857
948,921,1668,319,9497
949,9433,8785,5519,2722
950,9822,7553,8255,1058
951,8949,1618,8976,448
952,1895,7216,6649,552
953,1827,8293,8589,2318
954,7676,6835,406,6433
955,9779,2950,1187,4153
956,7776,6294,5152,2445
957,9742,4046,5154,6755
958,8020,112,9981,3451
959,7167,5601,8096,6499
960,6819,5769,1282,8445
961,2712,2692,1218,6941
962,3828,406,7663,7454
963,3863,5899,6714,4781
964,9325,7817,3178,7290
965,4091,3232,7833,9923
966,700,4955,5049,5502
967,2495,1996,6138,5761
968,7350,6640,6906,7805
969,6908,5194,3666,8626
970,7603,2241,3082,1736
971,4368,9046,2482,1958
972,3034,9034,1773,3256
973,4150,672,5657,3360
974,2114,7152,4147,8190
975,8676,6296,6713,1430
976,3046,2802,9916,5556
977,9330,78,8609,8610
978,8426,3248,4874,739
979,8773,6470,8805,7200
980,8251,4009,244,915
981,9540,5919,474,4153
982,1,1532,5564,308
983,4657,9378,5281,1643
984,5426,8457,9916,14
985,4789,4744,3348,7875
986,9147,9360,6307,7329
987,3740,8587,1144,8406
988,4473,2122,7112,1412
989,4277,5596,5580,8431
990,8509,9457,4221,2001
991,7651,3110,122,6543
992,9540,7764,7759,1764
993,6700,898,9641,3201
994,2839,4409,3967,9554
995,2013,4663,7390,5602
996,7393,6577,4775,9141
997,4366,745,3118,8610
998,4531,3819,1772,6242
999,6826,2422,1184,284
1000,9388,5470,608,1729
1001,7785,8144,6519,4308
1002,7322,736,475,5879
1003,6849,1853,444,1846
1004,1427,6374,6095,6048
1005,9665,6304,489,2438
1006,2563,2842,2332,4259
1007,3908,6626,9275,7409
1008,6444,1780,6552,7917
1009,6734,3527,4981,87
1010,17,5721,8704,4964
1011,441,1400,2269,350
1012,894,8574,7926,1069
1013,1520,6847,9829,2128
1014,9779,1848,4749,5217
1015,699,5204,3384,2273
1016,5744,5530,9819,6931
1017,8855,2808,2962,8832
1018,484,2206,3059,2569
1019,5873,1755,7920,2836
1020,82,3751,3262,4351
1021,2759,7582,8022,9557
