year,type,manufacturer,model,engines,seats,engine,aircraftId
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,55
1998.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,56
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,57
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,58
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,59
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,60
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,61
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,62
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,63
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,64
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,65
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,66
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,67
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,68
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,69
1987.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,70
2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,71
2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,72
1998.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,73
1998.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,74
1998.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,75
1998.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,76
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,77
2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,78
2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,79
2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,80
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,81
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,82
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,83
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,84
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,85
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,86
2009.0,Fixed wing multi engine,AIRBUS,A320-214,2,182,Turbo-fan,87
2009.0,Fixed wing multi engine,AIRBUS,A320-214,2,182,Turbo-fan,88
2010.0,Fixed wing multi engine,AIRBUS,A320-214,2,182,Turbo-fan,89
2010.0,Fixed wing multi engine,AIRBUS,A320-214,2,182,Turbo-fan,90
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,91
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,92
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,93
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,94
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,95
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,96
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,97
1994.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,98
1995.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,99
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,100
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,101
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,102
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,103
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,104
1999.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,105
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,106
2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,107
2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,108
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,109
2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,110
2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,111
2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,112
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,113
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,114
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,115
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,116
2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,117
1991.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,118
2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,119
1998.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,120
1999.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,121
1999.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,122
1991.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,123
2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,124
2009.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,125
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,126
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,127
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,128
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,129
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,130
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,131
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,132
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,133
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,134
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,135
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,136
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,137
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,138
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,139
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,140
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,141
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,142
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,143
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,144
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,145
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,146
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,147
1994.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,148
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,149
1994.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,150
1994.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,151
1995.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,152
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,153
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,154
1997.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,155
1997.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,156
1997.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,157
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,158
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,159
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,160
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,161
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,162
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,163
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,164
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,165
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,166
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,167
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,168
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,169
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,170
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,171
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,172
2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,173
2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,174
2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,175
1998.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,176
1998.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,177
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,178
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,179
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,180
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,181
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,182
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,183
1998.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,184
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,185
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,186
,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,187
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,188
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,189
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,190
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,191
1965.0,Fixed wing multi engine,BOEING,737-524,2,149,Turbo-fan,192
2007.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,193
1998.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,194
1999.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,195
2007.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,196
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,197
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,198
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,199
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,200
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,201
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,202
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,203
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,204
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,205
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,206
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,207
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,208
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,209
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,210
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,211
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,212
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,213
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,214
1990.0,Fixed wing multi engine,BOEING,767-3P6,2,290,Turbo-fan,215
2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,216
2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,217
1990.0,Fixed wing multi engine,BOEING,767-3P6,2,290,Turbo-fan,218
2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,219
1990.0,Fixed wing multi engine,BOEING,767-3P6,2,290,Turbo-fan,220
2007.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,221
2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,222
1991.0,Fixed wing multi engine,BOEING,767-3P6,2,290,Turbo-fan,223
2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,224
,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,225
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,226
,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,227
1991.0,Fixed wing multi engine,BOEING,767-3P6,2,290,Turbo-fan,228
2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,229
1991.0,Fixed wing multi engine,BOEING,767-3P6,2,290,Turbo-fan,230
2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,231
1998.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,232
1998.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,233
2013.0,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,234
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,235
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,236
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,237
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,238
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,239
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,240
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,241
1999.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,242
1999.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,243
1999.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,244
1999.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,245
1999.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,246
2000.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,247
2000.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,248
2000.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,249
2000.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,250
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,251
2000.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,252
2001.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,253
2001.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,254
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,255
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,256
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,257
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,258
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,259
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,260
2008.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,261
2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,Turbo-jet,262
1998.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,263
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,264
2008.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,265
2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,Turbo-jet,266
2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,Turbo-jet,267
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,268
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,269
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,270
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,271
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,272
2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,Turbo-jet,273
2008.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,274
1998.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,275
1998.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,276
1998.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,277
1998.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,278
1999.0,Fixed wing multi engine,BOEING,737-724,2,149,Turbo-jet,279
2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,Turbo-jet,280
2004.0,Fixed wing multi engine,BOEING,737-76N,2,149,Turbo-fan,281
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,282
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,283
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,284
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,285
1998.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,286
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,287
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,288
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,289
1999.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,290
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,291
2000.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,292
2004.0,Fixed wing multi engine,BOEING,737-76N,2,149,Turbo-fan,293
1998.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,294
2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,Turbo-jet,295
2008.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,296
2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,Turbo-jet,297
1994.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,298
1994.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,299
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,300
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,301
1997.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,302
1998.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,303
1998.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,304
1998.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,305
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,306
2000.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,307
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,308
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,309
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,310
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,311
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,312
1990.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,313
1998.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,314
2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,Turbo-jet,315
1999.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,316
